LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
1;149180010;Krzyżanowice;Odra (1);49 59 37;18 17 14;
2;149180020;Chałupki;Odra (1);49 55 19;18 19 40;
3;149180030;Łaziska;Olza (114);49 55 28;18 26 35;
4;149180040;Gołkowice;Szotkówka (1148);49 55 33;18 29 47;
5;149180050;Zebrzydowice;Piotrówka (1146);49 52 48;18 36 48;
6;149180060;Cieszyn;Olza (114);49 44 45;18 37 47;
7;149180070;Cieszyn;Młynówka (11448);49 44 46;18 37 53;
8;149180080;DROGOMYŚL;Wisła (2);49 53 09;18 44 58;
9;149180090;MIZERÓW-BORKI;Pszczynka (2116);49 59 56;18 46 07;
10;149180100;SKOCZÓW;Wisła (2);49 48 12;18 47 30;
11;149180110;Ustroń-Obłaziec;Wisła (2);49 40 50;18 51 01;
12;149180120;Górki Wielkie;Brennica (21114);49 46 21;18 51 09;
13;149180130;Istebna;Olza (114);49 34 19;18 53 34;
14;149180140;Wisła;Wisła (2);49 37 55;18 54 03;
15;149180160;Wisła-Czarne;Wisła (2);49 37 08;18 55 07;
16;149180180;Wisła-Czarne (Biała Wisełka);Biała Wisełka (2111152);49 37 05;18 56 08;
17;149180200;Wisła-Czarne (Czarna Wisełka);Wisła (2);49 36 27;18 55 34;
18;149180210;Zabrzeg;Wisła (2);49 55 31;18 56 07;
19;149180220;Pszczyna;Pszczynka (2116);49 58 45;18 56 45;
20;149180230;Podkępie;Wapienica (21128);49 53 44;18 58 39;
21;149180240;Goczałkowice;Wisła (2);49 55 54;18 59 09;
22;149180250;CZECHOWICE-DZIEDZICE;Iłownica (2112);49 54 49;18 59 11;
23;149180300;Olza;Odra (1);49 57 17;18 19 35;
24;149190010;CZECHOWICE-BESTWINA;Biała (2114);49 53 29;19 01 49;
25;149190020;KAMESZNICA;Bystra (213232);49 34 05;19 04 11;
26;149190030;MIKUSZOWICE;Biała (2114);49 46 46;19 04 27;
27;149190040;UJSOŁY;Woda Ujsolska (21322);49 29 33;19 07 02;
28;149190050;RAJCZA;Soła (2132);49 30 50;19 06 59;
29;149190060;JAWISZOWICE;Wisła (2);49 58 21;19 07 19;
30;149190070;ŁODYGOWICE;Żylica (213274);49 43 38;19 08 10;
31;149190080;CIĘCINA;Soła (2132);49 37 29;19 08 56;
32;149190090;ŻABNICA;Żabniczanka (213234);49 33 53;19 10 49;
33;149190100;ŻYWIEC;Soła (2132);49 41 11;19 11 36;
34;149190120;CZANIEC-KOBIERNICE;Soła (2132);49 50 54;19 13 40;
35;149190140;ŁĘKAWICA;Łękawka (213278);49 42 42;19 15 44;
36;149190150;PEWEL MAŁA;Koszarawa (21324);49 39 31;19 18 20;
37;149190160;RUDZE;Wieprzówka (21348);49 57 42;19 26 33;
38;149190170;ZATOR;Skawa (2134);49 59 57;19 26 44;
39;149190180;WADOWICE;Skawa (2134);49 52 38;19 30 40;
40;149190200;SUCHA BESKIDZKA;Stryszawka (21346);49 44 36;19 36 04;
